Country and Currency,currency_code,Font: Code2000,symbol1,Unicode: Decimal,Unicode: Hex,symbol
Afghanistan Afghani,AFN,?,?,1547,60b,&#1547;
Albania Lek,ALL,Lek,Lek,"76, 101, 107","4c, 65, 6b",&#76;&#101;&#107;
Netherlands Antilles Guilder,ANG,ƒ,ƒ,402,192,&#402;
Argentina Peso,ARS,$,$,36,24,&#36;
Australia Dollar,AUD,$,$,36,24,&#36;
Aruba Guilder,AWG,ƒ,ƒ,402,192,&#402;
Azerbaijan New Manat,AZN,?,?,"1084, 1072, 1085","43c, 430, 43d",&#1084;&#1072;&#1085;
Bosnia and Herzegovina Convertible Marka,BAM,KM,KM,"75, 77","4b, 4d",&#75;&#77;
Barbados Dollar,BBD,$,$,36,24,&#36;
Bulgaria Lev,BGN,?,?,"1083, 1074","43b, 432",&#1083;&#1074;
Bermuda Dollar,BMD,$,$,36,24,&#36;
Brunei Darussalam Dollar,BND,$,$,36,24,&#36;
Bolivia Bolíviano,BOB,$b,$b,"36, 98","24, 62",&#36;&#98;
Brazil Real,BRL,R$,R$,"82, 36","52, 24",&#82;&#36;
Bahamas Dollar,BSD,$,$,36,24,&#36;
Botswana Pula,BWP,P,P,80,50,&#80;
Belarus Ruble,BYR,p.,p.,"112, 46","70, 2e",&#112;&#46;
Belize Dollar,BZD,BZ$,BZ$,"66, 90, 36","42, 5a, 24",&#66;&#90;&#36;
Canada Dollar,CAD,$,$,36,24,&#36;
Switzerland Franc,CHF,CHF,CHF,"67, 72, 70","43, 48, 46",&#67;&#72;&#70;
Chile Peso,CLP,$,$,36,24,&#36;
China Yuan Renminbi,CNY,¥,¥,165,a5,&#165;
Colombia Peso,COP,$,$,36,24,&#36;
Costa Rica Colon,CRC,?,?,8353,20a1,&#8353;
Cuba Peso,CUP,?,?,8369,20b1,&#8369;
Czech Republic Koruna,CZK,?,?,"75, 269","4b, 10d",&#75;&#269;
Denmark Krone,DKK,kr,kr,"107, 114","6b, 72",&#107;&#114;
Dominican Republic Peso,DOP,RD$,RD$,"82, 68, 36","52, 44, 24",&#82;&#68;&#36;
Egypt Pound,EGP,£,£,163,a3,&#163;
Euro Member Countries,EUR,€,€,8364,20ac,&#8364;
Fiji Dollar,FJD,$,$,36,24,&#36;
Falkland Islands (Malvinas) Pound,FKP,£,£,163,a3,&#163;
United Kingdom Pound,GBP,£,£,163,a3,&#163;
Guernsey Pound,GGP,£,£,163,a3,&#163;
Ghana Cedi,GHS,¢,¢,162,a2,&#162;
Gibraltar Pound,GIP,£,£,163,a3,&#163;
Guatemala Quetzal,GTQ,Q,Q,81,51,&#81;
Guyana Dollar,GYD,$,$,36,24,&#36;
Hong Kong Dollar,HKD,$,$,36,24,&#36;
Honduras Lempira,HNL,L,L,76,4c,&#76;
Croatia Kuna,HRK,kn,kn,"107, 110","6b, 6e",&#107;&#110;
Hungary Forint,HUF,Ft,Ft,"70, 116","46, 74",&#70;&#116;
Indonesia Rupiah,IDR,Rp,Rp,"82, 112","52, 70",&#82;&#112;
Israel Shekel,ILS,?,?,8362,20aa,&#8362;
Isle of Man Pound,IMP,£,£,163,a3,&#163;
India Rupee,INR,?,?,,,&#;
Iran Rial,IRR,?,?,65020,fdfc,&#65020;
Iceland Krona,ISK,kr,kr,"107, 114","6b, 72",&#107;&#114;
Jersey Pound,JEP,£,£,163,a3,&#163;
Jamaica Dollar,JMD,J$,J$,"74, 36","4a, 24",&#74;&#36;
Japan Yen,JPY,¥,¥,165,a5,&#165;
Kyrgyzstan Som,KGS,?,?,"1083, 1074","43b, 432",&#1083;&#1074;
Cambodia Riel,KHR,?,?,6107,17db,&#6107;
Korea (North) Won,KPW,?,?,8361,20a9,&#8361;
Korea (South) Won,KRW,?,?,8361,20a9,&#8361;
Cayman Islands Dollar,KYD,$,$,36,24,&#36;
